calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap,observed_non_defaults,expected_non_defaults,hl_component_default,hl_component_non_default,hl_component_total
3,7688,418,0.05437044745057232,418.5554407696333,0.054442695209369577,0.05001431660462414,0.05957238731797398,spec::01_profile_only,01_profile_only,7.224775879725864e-05,7.224775879725864e-05,7.224963834039965e-06,7270,7269.444559230366,0.0007370933895945248,4.243989290480165e-05,0.0007795332824993265
4,7687,452,0.05880057239495252,468.1960091182769,0.06090750736545816,0.05957238731797398,0.06349882326425106,spec::01_profile_only,01_profile_only,0.002106934970505646,0.002106934970505646,0.00021067157207883792,7235,7218.803990881723,0.5602583239714936,0.0363371427857879,0.5965954667572815
5,7688,480,0.062434963579604576,532.2394436950028,0.06922989642234688,0.06349882326425106,0.07405037812711666,spec::01_profile_only,01_profile_only,0.006794932842742303,0.006794932842742303,0.0006795109614584514,7208,7155.760556304997,5.127315365078541,0.381365398700835,5.508680763779376
6,7688,592,0.07700312174817898,601.2287582161867,0.07820353254633022,0.07405037812711666,0.08273778170765395,spec::01_profile_only,01_profile_only,0.0012004107981512385,0.0012004107981512385,0.00012004420271321732,7096,7086.771241783813,0.14165985417162588,0.012018163886914249,0.15367801805854014
7,7687,666,0.08663978144919995,691.129523678419,0.0899088752020839,0.08273778170765395,0.0933768540390616,spec::01_profile_only,01_profile_only,0.0032690937528839503,0.0032690937528839503,0.00032687535677851826,7021,6995.870476321581,0.9137114515703127,0.09026653115455742,1.0039779827248703
8,7688,793,0.1031477627471384,783.4394605154679,0.10190419621689228,0.0933768540390616,0.11308249002411405,spec::01_profile_only,01_profile_only,-0.0012435665302461124,0.0012435665302461124,0.00012435988819339879,6895,6904.5605394845325,0.11667004260296164,0.013238194482123366,0.129908237085085
9,7688,955,0.12421956295525494,908.9990711791486,0.11823609146450945,0.11308249002411405,0.1278387667775457,spec::01_profile_only,01_profile_only,-0.00598347149074549,0.00598347149074549,0.0005983627152221874,6733,6779.000928820851,2.327929168985548,0.3121529963780046,2.6400821653635527
10,7688,1203,0.15647762747138397,1158.2928364862398,0.15066243970944848,0.1278387667775457,0.2268607988636532,spec::01_profile_only,01_profile_only,-0.005815187761935486,0.005815187761935486,0.0005815339045469448,6485,6529.70716351376,1.7255830360719908,0.3060980254388939,2.0316810615108847
1,7688,505,0.06568678459937564,504.68901633133225,0.06564633407015248,0.05859911012388425,0.07201397273405535,spec::02_affordability_only,02_affordability_only,-4.045052922316272e-05,4.045052922316272e-05,4.045158155358816e-06,7183,7183.310983668668,0.00019162462238799153,1.34632681778809e-05,0.00020508789056587244
2,7688,535,0.06958896982310094,555.4206963088694,0.07224514780292267,0.07201397273405535,0.07290528363147353,spec::02_affordability_only,02_affordability_only,0.0026561779798217333,0.0026561779798217333,0.00026562470809424654,7153,7132.579303691131,0.7507909599148718,0.05846480214011776,0.8092557620549895
3,7688,602,0.07830385015608742,560.6696459592008,0.07292789359510937,0.07290528363147353,0.07300116085178918,spec::02_affordability_only,02_affordability_only,-0.005375956560978043,0.005375956560978043,0.0005376096417804728,7086,7127.3303540408,3.046710620854732,0.23966872311021065,3.286379343964943
4,7687,516,0.0671263171588396,562.3956659060908,0.07316191829141289,0.07300116085178918,0.07346088646130829,spec::02_affordability_only,02_affordability_only,0.006035601132573287,0.006035601132573287,0.0006034973062006148,7171,7124.6043340939095,3.827479380371337,0.3021301554345222,4.1296095358058595
5,7688,614,0.07986472424557753,603.523745389095,0.07850204804748895,0.07346088646130829,0.08148235372084807,spec::02_affordability_only,02_affordability_only,-0.0013626761980885804,0.0013626761980885804,0.00013627116484436386,7074,7084.476254610905,0.1818518517470578,0.015491887717325821,0.19734373946438363
6,7688,613,0.07973465140478668,639.3115662377875,0.08315707157099213,0.08148235372084807,0.08523935133739534,spec::02_affordability_only,02_affordability_only,0.0034224201662054476,0.0034224201662054476,0.0003422509201304337,7075,7048.688433762212,1.0828812654812807,0.09821664333599713,1.181097908817278
7,7687,667,0.08676987121113568,655.2348937305579,0.08523935133739534,0.08523935133739534,0.08523935133739534,spec::02_affordability_only,02_affordability_only,-0.001530519873740338,0.001530519873740338,0.00015303606063427741,7020,7031.765106269442,0.2112490144457619,0.019684634432375513,0.23093364887813742
8,7688,702,0.09131113423517169,655.3201330818954,0.08523935133739534,0.08523935133739534,0.08523935133739534,spec::02_affordability_only,02_affordability_only,-0.006071782897776351,0.006071782897776351,0.000607194085669562,6986,7032.679866918104,3.3251076313511048,0.30984063212399887,3.6349482634751036
9,7688,756,0.09833506763787721,683.2660682290038,0.0888743585105364,0.08523935133739534,0.08995290459760327,spec::02_affordability_only,02_affordability_only,-0.009460709127340802,0.009460709127340802,0.0009460955250005996,6932,7004.733931770996,7.7425545872228305,0.7552356566853329,8.497790243908163
10,7688,696,0.09053069719042664,793.0523813064101,0.1031545761324675,0.08995290459760327,0.1167872531386092,spec::02_affordability_only,02_affordability_only,0.012623878942040853,0.012623878942040853,0.0012624207355343541,6992,6894.94761869359,11.877102873982393,1.3660966316417262,13.24319950562412
1,7688,352,0.045785639958376693,365.0750789482138,0.0474863526207354,0.041832576376522254,0.049217121435996165,spec::03_credit_history_only,03_credit_history_only,0.0017007126623587096,0.0017007126623587096,0.00017007569068151825,7336,7322.924921051786,0.46828090811919143,0.023345547215775565,0.491626455334967
2,7688,396,0.051508844953173774,386.1784100204403,0.05023132284344957,0.049217121435996165,0.050933827327155894,spec::03_credit_history_only,03_credit_history_only,-0.001277522109724205,0.001277522109724205,0.00012775553447747976,7292,7301.82158997956,0.24979032287494196,0.013210899299285931,0.2630012221742279
3,7688,444,0.057752341311134235,394.13082854419144,0.051265716511991605,0.050933827327155894,0.05641223807652915,spec::03_credit_history_only,03_credit_history_only,-0.00648662479914263,0.00648662479914263,0.0006486793550275571,7244,7293.869171455808,6.309920669917036,0.3409622798583963,6.650882949775432
