calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap
7,7687,647,0.08416807597242097,3932.539187593169,0.5115830867169466,0.4872439263600279,0.5365116800312457,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.42741501074452565,0.42741501074452565,0.04273705335197545
8,7688,792,0.10301768990634755,4335.593395386807,0.563942949451978,0.5365150724117944,0.5929921399242936,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.46092525954563046,0.46092525954563046,0.04609372506291536
9,7688,1045,0.1359261186264308,4828.038521053304,0.6279966858810229,0.5929944969196383,0.6679143500546137,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.4920705672545921,0.4920705672545921,0.04920833685909238
10,7688,1579,0.2053850156087409,5673.185805304962,0.737927394030302,0.6679145955774496,0.9806137173888445,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.5325423784215612,0.5325423784215612,0.05325562326419733
1,7688,634,0.08246618106139438,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0017361901234106553,0.0017361901234106553,0.0001736235290821967
2,7688,613,0.07973465140478668,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.00099533953319704,0.00099533953319704,9.953654271987881e-05
3,7688,637,0.08285639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.002126408645783187,0.002126408645783187,0.00021264639648249358
4,7687,596,0.07753349811369845,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.003196492824285274,0.003196492824285274,0.0003196160194110266
5,7688,642,0.08350676378772112,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0027767728497374022,0.0027767728497374022,0.0002776845088163213
6,7688,604,0.0785639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.0021659951003146216,0.0021659951003146216,0.00021660514492076813
7,7687,628,0.08169637049564199,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0009663795576582701,0.0009663795576582701,9.662789952547052e-05
8,7688,620,0.08064516129032258,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,8.482964766114154e-05,8.482964766114154e-05,8.483185452520307e-06
9,7688,627,0.08155567117585848,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0008256802378747569,0.0008256802378747569,8.25701718148382e-05
10,7688,605,0.07869406867845993,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.002035922259523787,0.002035922259523787,0.00020359752245400342
1,7688,185,0.024063475546305932,50.28665431406568,0.006540927980497617,1e-06,0.018714830689960132,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,-0.017522547565808316,0.017522547565808316,0.0017523003419175102
2,7688,269,0.034989594172736734,215.26531358294187,0.028000170861464863,0.018714845645034936,0.03641925750631848,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,-0.006989423311271871,0.006989423311271871,0.0006989605142831257
3,7688,324,0.04214360041623309,336.4724762558544,0.04376593083452841,0.03642182206367085,0.05083027112722174,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.0016223304182953202,0.0016223304182953202,0.00016223726236185154
4,7687,392,0.050995186678808375,438.295340585185,0.05701773651426889,0.05083027112722174,0.06316171660031386,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.006022549835460515,0.006022549835460515,0.000602192312302414
5,7688,455,0.05918314255983351,532.9004369915682,0.06931587369817484,0.06316171660031386,0.07558953025152773,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.01013273113834133,0.01013273113834133,0.001013299474382374
6,7688,523,0.06802809573361082,630.9003686948851,0.08206300321213385,0.07558996414105529,0.08863520258402922,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.014034907478523026,0.014034907478523026,0.0014035272600078697
7,7687,628,0.08169637049564199,736.1343668686451,0.09576354453865553,0.08863579836349193,0.10322862682388467,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.014067174043013539,0.014067174043013539,0.0014065710199100533
8,7688,780,0.10145681581685743,859.755742257673,0.11183087178169523,0.10323237409227007,0.12110950174342427,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.0103740559648378,0.0103740559648378,0.001037432584844468
